start,end,block,first_version,status
0,127,"Basic Latin",2.0.0,active
128,255,"Latin-1 Supplement",2.0.0,active
256,383,"Latin Extended-A",2.0.0,active
384,591,"Latin Extended-B",2.0.0,active
592,687,"IPA Extensions",2.0.0,active
688,767,"Spacing Modifier Letters",2.0.0,active
768,879,"Combining Diacritical Marks",2.0.0,active
880,1023,"Greek and Coptic",2.0.0,active
1024,1279,Cyrillic,2.0.0,active
1280,1327,"Cyrillic Supplement",3.2.0,active
1328,1423,Armenian,2.0.0,active
1424,1535,Hebrew,2.0.0,active
1536,1791,Arabic,2.0.0,active
1792,1871,Syriac,3.0.0,active
1872,1919,"Arabic Supplement",4.1.0,active
1920,1983,Thaana,3.0.0,active
1984,2047,NKo,5.0.0,active
2048,2111,Samaritan,5.2.0,active
2112,2143,Mandaic,6.0.0,active
2144,2159,"Syriac Supplement",10.0.0,active
2160,2207,"Arabic Extended-B",14.0.0,active
2208,2303,"Arabic Extended-A",6.1.0,active
2304,2431,Devanagari,2.0.0,active
2432,2559,Bengali,2.0.0,active
2560,2687,Gurmukhi,2.0.0,active
2688,2815,Gujarati,2.0.0,active
2816,2943,Oriya,2.0.0,active
2944,3071,Tamil,2.0.0,active
3072,3199,Telugu,2.0.0,active
3200,3327,Kannada,2.0.0,active
3328,3455,Malayalam,2.0.0,active
3456,3583,Sinhala,3.0.0,active
3584,3711,Thai,2.0.0,active
3712,3839,Lao,2.0.0,active
3840,4095,Tibetan,2.0.0,active
4096,4255,Myanmar,3.0.0,active
4256,4351,Georgian,2.0.0,active
4352,4607,"Hangul Jamo",2.0.0,active
4608,4991,Ethiopic,3.0.0,active
4992,5023,"Ethiopic Supplement",4.1.0,active
5024,5119,Cherokee,3.0.0,active
5120,5759,"Unified Canadian Aboriginal Syllabics",3.0.0,active
5760,5791,Ogham,3.0.0,active
5792,5887,Runic,3.0.0,active
5888,5919,Tagalog,3.2.0,active
5920,5951,Hanunoo,3.2.0,active
5952,5983,Buhid,3.2.0,active
5984,6015,Tagbanwa,3.2.0,active
6016,6143,Khmer,3.0.0,active
6144,6319,Mongolian,3.0.0,active
6320,6399,"Unified Canadian Aboriginal Syllabics Extended",5.2.0,active
6400,6479,Limbu,4.0.0,active
6480,6527,"Tai Le",4.0.0,active
6528,6623,"New Tai Lue",4.1.0,active
6624,6655,"Khmer Symbols",4.0.0,active
6656,6687,Buginese,4.1.0,active
6688,6831,"Tai Tham",5.2.0,active
6832,6911,"Combining Diacritical Marks Extended",7.0.0,active
6912,7039,Balinese,5.0.0,active
7040,7103,Sundanese,5.1.0,active
7104,7167,Batak,6.0.0,active
7168,7247,Lepcha,5.1.0,active
7248,7295,"Ol Chiki",5.1.0,active
7296,7311,"Cyrillic Extended-C",9.0.0,active
7312,7359,"Georgian Extended",11.0.0,active
7360,7375,"Sundanese Supplement",6.1.0,active
7376,7423,"Vedic Extensions",5.2.0,active
7424,7551,"Phonetic Extensions",4.0.0,active
7552,7615,"Phonetic Extensions Supplement",4.1.0,active
7616,7679,"Combining Diacritical Marks Supplement",4.1.0,active
7680,7935,"Latin Extended Additional",2.0.0,active
7936,8191,"Greek Extended",2.0.0,active
8192,8303,"General Punctuation",2.0.0,active
8304,8351,"Superscripts and Subscripts",2.0.0,active
8352,8399,"Currency Symbols",2.0.0,active
8400,8447,"Combining Diacritical Marks for Symbols",2.0.0,active
8448,8527,"Letterlike Symbols",2.0.0,active
8528,8591,"Number Forms",2.0.0,active
8592,8703,Arrows,2.0.0,active
8704,8959,"Mathematical Operators",2.0.0,active
8960,9215,"Miscellaneous Technical",2.0.0,active
9216,9279,"Control Pictures",2.0.0,active
9280,9311,"Optical Character Recognition",2.0.0,active
9312,9471,"Enclosed Alphanumerics",2.0.0,active
9472,9599,"Box Drawing",2.0.0,active
9600,9631,"Block Elements",2.0.0,active
9632,9727,"Geometric Shapes",2.0.0,active
9728,9983,"Miscellaneous Symbols",2.0.0,active
9984,10175,Dingbats,2.0.0,active
10176,10223,"Miscellaneous Mathematical Symbols-A",3.2.0,active
10224,10239,"Supplemental Arrows-A",3.2.0,active
10240,10495,"Braille Patterns",3.0.0,active
10496,10623,"Supplemental Arrows-B",3.2.0,active
10624,10751,"Miscellaneous Mathematical Symbols-B",3.2.0,active
10752,11007,"Supplemental Mathematical Operators",3.2.0,active
11008,11263,"Miscellaneous Symbols and Arrows",4.0.0,active
11264,11359,Glagolitic,4.1.0,active
11360,11391,"Latin Extended-C",5.0.0,active
11392,11519,Coptic,4.1.0,active
11520,11567,"Georgian Supplement",4.1.0,active
11568,11647,Tifinagh,4.1.0,active
11648,11743,"Ethiopic Extended",4.1.0,active
11744,11775,"Cyrillic Extended-A",5.1.0,active
11776,11903,"Supplemental Punctuation",4.1.0,active
11904,12031,"CJK Radicals Supplement",3.0.0,active
12032,12255,"Kangxi Radicals",3.0.0,active
12272,12287,"Ideographic Description Characters",3.0.0,active
12288,12351,"CJK Symbols and Punctuation",2.0.0,active
